indicator,target,feature,lag_days,horizon_days,spearman_r,spearman_p,pearson_r,pearson_p,n_obs,q_spearman
xrp_price,xrp,xrp_price_ma30,90,1,-0.0305,0.20619602927618388,-0.0296,0.22020791930367745,1721,0.2779
xrp_price,xrp,xrp_price_ma90,90,1,-0.0443,0.06850682220446268,-0.0335,0.16835738999074193,1691,0.1086
xrp_price,xrp,xrp_price_mom21,90,1,-0.0122,0.6123962305011336,0.0028,0.9087649170393942,1714,0.7034
xrp_price,xrp,xrp_price_yoy252,90,1,-0.0012,0.9630248063513412,-0.0116,0.6549398715052794,1483,0.9746
xrp_price,xrp,xrp_price_zscore,90,1,0.0205,0.4016552971952792,0.031,0.20490058399300937,1673,0.4962
xrp_price,xrp,xrp_price_dz,90,7,0.0279,0.25770847168178196,0.0132,0.5919363926652677,1646,0.3432
xrp_price,xrp,xrp_price_ma30,90,7,-0.0694,0.004057937940185927,-0.0822,0.0006508951382226343,1715,0.0077
xrp_price,xrp,xrp_price_ma90,90,7,-0.0958,8.245971172809016e-05,-0.0906,0.000195467162454571,1685,0.0002
xrp_price,xrp,xrp_price_mom21,90,7,0.0168,0.4882188763326338,-0.0007,0.9777719061322123,1708,0.5776
xrp_price,xrp,xrp_price_yoy252,90,7,-0.023,0.3771984538126037,-0.0298,0.2519368126668087,1477,0.4682
xrp_price,xrp,xrp_price_zscore,90,7,0.0536,0.02853041455268648,0.0722,0.003169184126321341,1667,0.0479
xrp_price,xrp,xrp_price_dz,90,30,0.151,9.76627440908898e-10,0.1415,1.0458383125726164e-08,1623,0.0
xrp_price,xrp,xrp_price_ma30,90,30,-0.1523,3.0726270613423356e-10,-0.1374,1.3739904616515675e-08,1692,0.0
xrp_price,xrp,xrp_price_ma90,90,30,-0.186,2.124191571686313e-14,-0.1459,2.2881442538114564e-09,1662,0.0
xrp_price,xrp,xrp_price_mom21,90,30,0.1663,6.473936974517137e-12,0.0551,0.023686590728365625,1685,0.0
xrp_price,xrp,xrp_price_yoy252,90,30,-0.0164,0.5311154486124923,-0.0533,0.04227838397148627,1454,0.6225
xrp_price,xrp,xrp_price_zscore,90,30,0.1777,3.970235369388767e-13,0.0856,0.0005097259808109299,1644,0.0
xrp_price,xrp,xrp_price_dz,90,60,0.0915,0.0002538786376592546,0.1241,6.737089982555574e-07,1593,0.0005
xrp_price,xrp,xrp_price_ma30,90,60,-0.3042,6.443755687119432e-37,-0.1881,1.0490998563214537e-14,1662,0.0
xrp_price,xrp,xrp_price_ma90,90,60,-0.3314,3.8579599103977596e-43,-0.1994,4.290118903650197e-16,1632,0.0
xrp_price,xrp,xrp_price_mom21,90,60,0.0765,0.0018447606761021085,0.0293,0.23402568035023774,1655,0.0037
xrp_price,xrp,xrp_price_yoy252,90,60,-0.1227,3.4125945492861364e-06,-0.0948,0.0003412127984894997,1424,0.0
xrp_price,xrp,xrp_price_zscore,90,60,0.1186,1.7672825077334217e-06,-0.001,0.9671620795744923,1614,0.0
